1,33,Petr Cech,0,g
2,54,Matt Macey,0,g
3,13,David Ospina,0,g
4,26,Emiliano Martinez,0,g
5,5,Gabriel Paulista,0,d
6,3,Kieran Gibbs,0,d
7,24,Hector Bellerin,0,d
8,6,Laurent Koscielny,0,d
9,4,Per Mertesacker,0,d
10,25,Carl Jenkinson,0,d
11,16,Rob Holding,0,d
12,18,Nacho Monreal,0,d
13,36,Ismael Bennacer,0,m
14,37,Krystian Bielik,0,m
15,34,Francis Coquelin,0,m
16,35,Mohamed Elneny,0,m
17,20,Shkodran Mustafi,0,d
18,9,Lucas ,0,f
19,11,Mesut Ozil,0,m
20,8,Aaron Ramsey,0,m
21,29,Granit Xhaka,0,m
22,31,Jeff Reine-Adelaide,0,m
23,7,Tomas Rosicky,0,m
24,19,Santi Cazorla,0,m
25,65,Ben Sheaf,0,m
26,10,Jack Wilshere,0,m
27,28,Joel Campbell,0,f
28,12,Olivier Giroud,0,f
29,27,Serge Gnabry,0,f
30,17,Alex Iwobi,0,f
31,15,Alex Oxlade-Chamberlain,0,f
32,7,Alexis Sanchez,0,f
33,14,Theo Walcott,0,f
34,23,Danny Welbeck,0,f
35,32,Chuba Akpom,0,f
36,22,Yaya Sanogo,0,f
37,38,Marc Bola,0,d
38,39,Tolaji Bola,0,d
39,40,Gedion Zelalem,0,m
40,41,Josh Dasilva,0,f
41,42,Kristopher da Graca,0,d
42,43,Vlad Dragomir,0,m
43,44,Aaron Eyoma,0,m
44,45,Yasin Fortune,0,m
45,46,Charlie Glimour,0,m
46,48,Kaylen Hinds,0,f
47,57,Stephy Mavididi,0,f
48,53,Hugo Keto,0,g
49,50,Dejan Iliev,0,g
50,51,Chiori Johnson,0,d
51,56,Donyell Malen,0,f
52,55,Ainsley Maitland Niles,0,m
53,64,Tyrell,0,m
54,62,Jordi Osei-Tutu,0,d
55,60,Savvas Mourgos,0,m
56,58,Marcus Mcguane,0,m
57,68,Chris Willock,0,f
58,21,Ryan Allsop,1,g
59,1,Artur Boruc,1,g
60,23,Adam Federici,1,g
61,45,Jordan Holmes,1,g
62,41,Pat O'Flaherty,1,g
63,49,Callum Stanton,1,g
64,43,Callum Buckley,1,d
65,26,Tyrone Mings,1,d
66,3,Steve Cook,1,d
67,5,Nathan Ake,1,d
68,2,Simon Francis,1,d
69,37,Corey Jordan,1,d
70,47,Jordan Lee,1,d
71,14,Brad Smith,1,d
72,42,Jack Simpson,1,d
73,15,Adam Smith,1,d
74,29,Rhoys Wiggins,1,d
75,33,Jordan Ibe,1,m
76,40,Ollie Harfield,1,d
77,32,Jack Wilshere,1,m
78,8,Harry Arter,1,m
79,11,Charlie Daniels,1,m
80,4,Dan Gosling,1,m
81,16,Shaun MacDonald,1,m
82,32,Eunan O'Kane,1,m
83,7,Marc Pugh,1,m
84,19,Junior Stanislas,1,m
85,27,Sam Matthews,1,m
86,24,Ryan Fraser,1,m
87,18,Lewis Cook,1,m
88,22,Emerson Hyndman,1,m
89,43,Ben Whitifield,1,m
90,36,Matt Butcher,1,m
91,6,Andrew Surman,1,m
92,10,Max Gradel,1,m
93,44,Sam Surridge,1,f
94,9,Benik Afobe,1,f
95,28,Lewis Grabban,1,f
96,31,Lys Mousset,1,f
97,17,Joshua King,1,f
98,13,Callum Wilson,1,f
99,1,Tom Heaton,2,g
100,17,Paul Robinson,2,g
101,29,Nick Pope,2,g
102,36,Connor Mitchell,2,g
103,34,Tom Anderson,2,d
104,5,Michael Keane,2,d
105,2,Matthew Lowton,2,d
106,23,Stephen Ward,2,d
107,27,Tendayi Darikwa,2,d
108,4,Jon Flanagan,2,d
109,6,Ben Mee,2,d
110,26,James Tarkowski,2,d
111,28,Kevin Long,2,d
112,25,Johann Guomundsson,2,m
113,11,Michael Kightly,2,m
114,8,Dean Marney,2,m
115,13,Jeff Hendrick,2,m 
116,41,Aiden O'Neill,2,m
117,37,Scott Arfield,2,m
118,16,Steven Defour,2,m
119,15,Patrick Bamford,2,f
120,10,Ashley Barnes,2,f
121,21,George Boyd,2,f
122,7,Andre Gray,2,f
123,9,Sam Vokes,2,f
124,1,Asmir Begovic,3,g
125,13,Thibaut Courtois,3,g
126,37,Eduardo,3,g
127,42,Bradley Collins,3,g
128,34,Ola Aina,3,d
129,28,Azpilicueta,3,d
130,29,Nathaniel Chalobah,3,d
131,24,Gary Cahill,3,d
132,2,Branislav Ivanovic,3,d
133,3,Marcos Alonso,3,d
134,30,David Luiz,3,d
135,26,John Terry,3,d
136,33,Fikayo Tomori,3,d
137,5,Kurt Zouma,3,d
138,4,Cesc Fabregas,3,m
139,10,Eden Hazard,3,m
140,14,Ruben Loftus-Cheek,3,m
141,21,Nemanja Matic,3,m
142,12,John obi Mikel,3,m
143,8,Oscar,3,m
144,22,Willian,3,m
145,15,Victor Moses,3,m
146,41,Dominic Solanke,3,f
147,42,Tammy Abraham,3,f
148,11,Pedro,3,f
149,19,Diego Costa,3,f
150,23,Michy Batshuayi,3,f
151,13,Wayne Hennessey,4,g
152,30,Steve Mandanda,4,g
153,1,Julian Speroni,4,g
154,40,Kieton Perntreou,4,g
155,6,Scott Dann,4,d
156,27,Damien Delaney,4,d
157,19,Ezekiel Fryers,4,d
158,34,Martin Kelly,4,d
159,23,Pape Souare,4,d
160,5,James Tomkins,4,d
161,2,Joel Ward,4,d
162,10,Andos Townsend ,4,m
163,7,Yohan Cabaye,4,m
164,16,Joe Ledley,4,m
165,14,Chung-yong Lee,4,m
166,18,James McArthur,4,m
167,22,Jordon Mutch,4,m
168,42,Jason Puncheon,4,m
169,26,Bakary Sako,4,m
170,17,Andros Townsend,4,m
171,8,Loic Remy ,4,f
172,17,Christian Benteke,4,f
173,21,Connor Wickham,4,f
174,9,Frazier Campbell,4,f
175,11,Wilfried Zaha,4,f
176,22,Maarten Steklenburg,5,g
177,1,Joel Robles,5,g
178,3,Leighton Baines,5,d
179,27,Tyias Browning,5,d
180,23,Seamus Coleman,5,d
181,5,Ashley Williams,5,d
182,25,Ramiro Funes Mori,5,d
183,30,Mason Holgate,5,d
184,6,Phil Jagielka,5,d
185,20,Bryan Oviedo,5,d
186,38,Matthew Pennington,5,d
187,8,Ross Barkley,5,m
188,18,Gareth Barry,5,m
189,21,Muhamed Besic,5,m
190,15,Tom Cleverley,5,m
191,17,Idrissa Gueye,5,m
192,26,Thomas Davies,5,m
193,4,Darron Gibson,5,m
194,12,Aaron Lennon,5,m
195,16,James McCarthy,5,m
196,11,Kevin Mirallas,5,m
197,14,Yannick Bolasie,5,m
198,28,Kieran Dowell,5,m
199,7,Deulofeu,5,m
200,9,Arouna Kone,5,f
201,10,Romelu Lukaku,5,f
202,19,Enner Valencia,5,f
203,12,Dusan Kuciak,6,g
204,1,Allan McGregor,6,g
205,16,Eldin Jakupovic,6,g
206,23,David Marshall,6,g
207,35,Will Mannion,6,g
208,4,Alex Bruce,6,d
209,21,Michael Dawson,6,d
210,5,Harry Maguire,6,d
211,2,Moses Odubajo,6,d
212,6,Curtis Davies,6,d
213,30,Daniel Batty,6,d
214,37,Josh Clackstone,6,d
215,31,Brian Lenihan,6,d
216,28,Josh Tymon,6,d
217,3,Andrew Robertson,6,d
218,11,Sam Clucas,6,m
219,17,James Weir,6,m
220,14,Jake Livermore,6,m
221,7,David Meyler,6,m
222,8,Tom Huddlestone,6,m
223,22,Nick Powell,6,m
224,27,Ahmed Elmohamady,6,m
225,15,Shaun Maloney,6,m
226,10,Robert Snodgrass,6,m
227,25,Ryan Mason,6,m
228,39,Ben Hinchcliffe,6,m
229,38,Harvey Rodgers,6,m
230,36,Greg Olley,6,m
231,34,Ellis Barkworth,6,m
232,22,Markus Henriksen,6,m
233,9,Abel Hernandez,6,f
234,33,Johan Ter Horst,6,f
235,32,Greg Luer,6,f
236,19,Will Keane,6,f
237,20,Adama Diomande,6,f
238,29,Jarrod Bowen,6,f
239,18,Dieumerci,6,f
240,21,Ron-Robert Zieler,7,g
241,1,Kasper Schmeichel,7,g
242,28,Christian Fuchs,7,d
243,6,Robert Huth,7,d
244,2,Luis Hernandez,7,d
245,5,Wes Morgan,7,d
246,15,Jeffrey Schlupp,7,f
247,17,Danny Simpson,7,d
248,27,Marcin Wasilewski,7,d
249,11,Marc Albrighton,7,m
250,4,Danny Drinkwater,7,m
251,24,Nampalys Mendy,7,m
252,14,Bartosz Kaputska,7,m
253,8,Matty James,7,m
254,10,Andy King,7,m
255,26,Riyad Mahrez,7,m
256,13,Daniel Amartey,7,m
257,22,Demarai Gray,7,m
258,19,Islam Slimani,7,f
259,7,Ahmed Musa,7,f
260,20,Shinji Okazaki,7,f
261,23,Leonardo Ulloa,7,f
262,9,Jamie Vardy,7,f
263,1,Loris Karius,8,g
264,13,Alex Manninger,8,g
265,22,Simon Mignolet,8,g
266,18,Alberto Moreno,8,d
267,2,Nathaniel Clyne,8,d
268,12,Joe Gomez,8,d
269,17,Ragnar Klavan,8,d
270,6,Dejan Lovren,8,d
271,32,Jole Matip,8,d
272,57,Joe Maguire,8,d
273,56,Connor Randall,8,d
274,3,Mamadou Sakho,8,d
275,49,Jordan Williams,8,d
276,26,Tiago Ilori,8,d
277,23,Emre Can,8,m
278,10,Coutinho,8,m
279,14,Jordan Henderson,8,m
280,53,Oviemuno Ejaria,8,m
281,20,Adam Lallana,8,m
